Cutoff,Array Size,Serial Time
6.333333,700000.000000,0.102334
6.333333,709090.909091,0.103233
6.333333,718181.818182,0.104132
6.333333,727272.727273,0.105031
6.333333,736363.636364,0.105929
6.333333,745454.545455,0.106828
6.333333,754545.454545,0.107727
6.333333,763636.363636,0.108626
6.333333,772727.272727,0.109525
6.333333,781818.181818,0.110424
6.333333,790909.090909,0.111323
6.333333,800000.000000,0.112222
6.333333,809090.909091,0.112616
6.333333,818181.818182,0.113010
6.333333,827272.727273,0.113404
6.333333,836363.636364,0.113798
6.333333,845454.545455,0.114192
6.333333,854545.454545,0.114586
6.333333,863636.363636,0.114980
6.333333,872727.272727,0.115374
6.333333,881818.181818,0.115768
6.333333,890909.090909,0.116161
6.333333,900000.000000,0.116555
6.333333,909090.909091,0.118742
6.333333,918181.818182,0.120929
6.333333,927272.727273,0.123116
6.333333,936363.636364,0.125303
6.333333,945454.545455,0.127490
6.333333,954545.454545,0.129677
6.333333,963636.363636,0.131864
6.333333,972727.272727,0.134051
6.333333,981818.181818,0.136238
6.333333,990909.090909,0.138424
6.333333,1000000.000000,0.140611
6.444444,100000.000000,0.000000
6.444444,109090.909091,0.013596
6.444444,118181.818182,0.014914
6.444444,127272.727273,0.016232
6.444444,136363.636364,0.017550
6.444444,145454.545455,0.018869
6.444444,154545.454545,0.020187
6.444444,163636.363636,0.021505
6.444444,172727.272727,0.022823
6.444444,181818.181818,0.024141
6.444444,190909.090909,0.025460
6.444444,200000.000000,0.026778
6.444444,209090.909091,0.028677
6.444444,218181.818182,0.030576
6.444444,227272.727273,0.032475
6.444444,236363.636364,0.034374
6.444444,245454.545455,0.036273
6.444444,254545.454545,0.038172
6.444444,263636.363636,0.040071
6.444444,272727.272727,0.041970
6.444444,281818.181818,0.043869
6.444444,290909.090909,0.045768
6.444444,300000.000000,0.047667
6.444444,309090.909091,0.048978
6.444444,318181.818182,0.050290
6.444444,327272.727273,0.051601
6.444444,336363.636364,0.052912
6.444444,345454.545455,0.054224
6.444444,354545.454545,0.055535
6.444444,363636.363636,0.056847
6.444444,372727.272727,0.058158
6.444444,381818.181818,0.059470
6.444444,390909.090909,0.060781
6.444444,400000.000000,0.062093
6.444444,409090.909091,0.063377
6.444444,418181.818182,0.064662
6.444444,427272.727273,0.065946
6.444444,436363.636364,0.067231
6.444444,445454.545455,0.068515
6.444444,454545.454545,0.069800
6.444444,463636.363636,0.071084
6.444444,472727.272727,0.072369
6.444444,481818.181818,0.073653
6.444444,490909.090909,0.074938
6.444444,500000.000000,0.076222
6.444444,509090.909091,0.077729
6.444444,518181.818182,0.079236
6.444444,527272.727273,0.080742
6.444444,536363.636364,0.082249
6.444444,545454.545455,0.083756
6.444444,554545.454545,0.085263
6.444444,563636.363636,0.086769
6.444444,572727.272727,0.088276
6.444444,581818.181818,0.089783
