Cutoff,Array Size,Parallel Time
3.535354,172727.272727,0.004914
3.535354,181818.181818,0.005166
3.535354,190909.090909,0.005418
3.535354,200000.000000,0.005669
3.535354,209090.909091,0.005975
3.535354,218181.818182,0.006281
3.535354,227272.727273,0.006587
3.535354,236363.636364,0.006893
3.535354,245454.545455,0.007199
3.535354,254545.454545,0.007505
3.535354,263636.363636,0.007811
3.535354,272727.272727,0.008117
3.535354,281818.181818,0.008423
3.535354,290909.090909,0.008729
3.535354,300000.000000,0.009035
3.535354,309090.909091,0.009378
3.535354,318181.818182,0.009720
3.535354,327272.727273,0.010063
3.535354,336363.636364,0.010405
3.535354,345454.545455,0.010748
3.535354,354545.454545,0.011090
3.535354,363636.363636,0.011433
3.535354,372727.272727,0.011775
3.535354,381818.181818,0.012118
3.535354,390909.090909,0.012461
3.535354,400000.000000,0.012803
3.535354,409090.909091,0.013077
3.535354,418181.818182,0.013352
3.535354,427272.727273,0.013626
3.535354,436363.636364,0.013900
3.535354,445454.545455,0.014175
3.535354,454545.454545,0.014449
3.535354,463636.363636,0.014723
3.535354,472727.272727,0.014998
3.535354,481818.181818,0.015272
3.535354,490909.090909,0.015546
3.535354,500000.000000,0.015821
3.535354,509090.909091,0.016235
3.535354,518181.818182,0.016649
3.535354,527272.727273,0.017062
3.535354,536363.636364,0.017476
3.535354,545454.545455,0.017890
3.535354,554545.454545,0.018304
3.535354,563636.363636,0.018718
3.535354,572727.272727,0.019132
3.535354,581818.181818,0.019546
3.535354,590909.090909,0.019960
3.535354,600000.000000,0.020374
3.535354,609090.909091,0.020671
3.535354,618181.818182,0.020968
3.535354,627272.727273,0.021265
3.535354,636363.636364,0.021562
3.535354,645454.545455,0.021859
3.535354,654545.454545,0.022156
3.535354,663636.363636,0.022453
3.535354,672727.272727,0.022750
3.535354,681818.181818,0.023047
3.535354,690909.090909,0.023344
3.535354,700000.000000,0.023641
3.535354,709090.909091,0.023891
3.535354,718181.818182,0.024141
3.535354,727272.727273,0.024391
3.535354,736363.636364,0.024641
3.535354,745454.545455,0.024891
3.535354,754545.454545,0.025141
3.535354,763636.363636,0.025391
3.535354,772727.272727,0.025641
3.535354,781818.181818,0.025891
3.535354,790909.090909,0.026141
3.535354,800000.000000,0.026391
3.535354,809090.909091,0.026684
3.535354,818181.818182,0.026977
3.535354,827272.727273,0.027270
3.535354,836363.636364,0.027563
3.535354,845454.545455,0.027856
3.535354,854545.454545,0.028149
3.535354,863636.363636,0.028442
3.535354,872727.272727,0.028735
3.535354,881818.181818,0.029028
3.535354,890909.090909,0.029321
3.535354,900000.000000,0.029614
3.535354,909090.909091,0.029880
3.535354,918181.818182,0.030146
3.535354,927272.727273,0.030413
3.535354,936363.636364,0.030679
3.535354,945454.545455,0.030945
3.535354,954545.454545,0.031211
3.535354,963636.363636,0.031478
3.535354,972727.272727,0.031744
3.535354,981818.181818,0.032010
3.535354,990909.090909,0.032277
3.535354,1000000.000000,0.032543
3.606061,100000.000000,0.000000
3.606061,109090.909091,0.003209
3.606061,118181.818182,0.003464
3.606061,127272.727273,0.003719
3.606061,136363.636364,0.003974
3.606061,145454.545455,0.004229
3.606061,154545.454545,0.004483
3.606061,163636.363636,0.004738
3.606061,172727.272727,0.004993
3.606061,181818.181818,0.005248
3.606061,190909.090909,0.005503
3.606061,200000.000000,0.005758
3.606061,209090.909091,0.006062
3.606061,218181.818182,0.006366
3.606061,227272.727273,0.006671
3.606061,236363.636364,0.006975
3.606061,245454.545455,0.007280
3.606061,254545.454545,0.007584
3.606061,263636.363636,0.007888
3.606061,272727.272727,0.008193
3.606061,281818.181818,0.008497
3.606061,290909.090909,0.008802
3.606061,300000.000000,0.009106
3.606061,309090.909091,0.009452
3.606061,318181.818182,0.009798
3.606061,327272.727273,0.010143
3.606061,336363.636364,0.010489
3.606061,345454.545455,0.010835
3.606061,354545.454545,0.011180
3.606061,363636.363636,0.011526
3.606061,372727.272727,0.011872
3.606061,381818.181818,0.012218
3.606061,390909.090909,0.012563
3.606061,400000.000000,0.012909
3.606061,409090.909091,0.013187
3.606061,418181.818182,0.013464
3.606061,427272.727273,0.013742
3.606061,436363.636364,0.014019
3.606061,445454.545455,0.014297
3.606061,454545.454545,0.014574
3.606061,463636.363636,0.014852
3.606061,472727.272727,0.015129
3.606061,481818.181818,0.015407
3.606061,490909.090909,0.015685
3.606061,500000.000000,0.015962
3.606061,509090.909091,0.016386
3.606061,518181.818182,0.016809
3.606061,527272.727273,0.017233
3.606061,536363.636364,0.017656
3.606061,545454.545455,0.018080
3.606061,554545.454545,0.018503
3.606061,563636.363636,0.018927
3.606061,572727.272727,0.019351
3.606061,581818.181818,0.019774
3.606061,590909.090909,0.020198
3.606061,600000.000000,0.020621
3.606061,609090.909091,0.020921
3.606061,618181.818182,0.021222
3.606061,627272.727273,0.021522
3.606061,636363.636364,0.021822
3.606061,645454.545455,0.022123
3.606061,654545.454545,0.022423
3.606061,663636.363636,0.022723
3.606061,672727.272727,0.023023
3.606061,681818.181818,0.023324
3.606061,690909.090909,0.023624
3.606061,700000.000000,0.023924
3.606061,709090.909091,0.024174
3.606061,718181.818182,0.024424
3.606061,727272.727273,0.024674
3.606061,736363.636364,0.024924
3.606061,745454.545455,0.025174
3.606061,754545.454545,0.025424
3.606061,763636.363636,0.025674
3.606061,772727.272727,0.025924
3.606061,781818.181818,0.026174
3.606061,790909.090909,0.026424
3.606061,800000.000000,0.026674
3.606061,809090.909091,0.026985
3.606061,818181.818182,0.027295
3.606061,827272.727273,0.027606
3.606061,836363.636364,0.027917
3.606061,845454.545455,0.028227
3.606061,854545.454545,0.028538
3.606061,863636.363636,0.028848
3.606061,872727.272727,0.029159
3.606061,881818.181818,0.029470
3.606061,890909.090909,0.029780
3.606061,900000.000000,0.030091
3.606061,909090.909091,0.030344
3.606061,918181.818182,0.030598
3.606061,927272.727273,0.030851
3.606061,936363.636364,0.031105
3.606061,945454.545455,0.031358
3.606061,954545.454545,0.031612
3.606061,963636.363636,0.031865
3.606061,972727.272727,0.032118
3.606061,981818.181818,0.032372
3.606061,990909.090909,0.032625
3.606061,1000000.000000,0.032879
3.676768,100000.000000,0.000000
3.676768,109090.909091,0.003266
3.676768,118181.818182,0.003524
3.676768,127272.727273,0.003782
3.676768,136363.636364,0.004040
3.676768,145454.545455,0.004298
3.676768,154545.454545,0.004556
3.676768,163636.363636,0.004814
3.676768,172727.272727,0.005072
3.676768,181818.181818,0.005330
3.676768,190909.090909,0.005588
3.676768,200000.000000,0.005846
3.676768,209090.909091,0.006149
3.676768,218181.818182,0.006452
3.676768,227272.727273,0.006754
3.676768,236363.636364,0.007057
3.676768,245454.545455,0.007360
3.676768,254545.454545,0.007663
3.676768,263636.363636,0.007966
3.676768,272727.272727,0.008268
3.676768,281818.181818,0.008571
3.676768,290909.090909,0.008874
3.676768,300000.000000,0.009177
3.676768,309090.909091,0.009526
3.676768,318181.818182,0.009875
3.676768,327272.727273,0.010224
3.676768,336363.636364,0.010573
3.676768,345454.545455,0.010921
3.676768,354545.454545,0.011270
3.676768,363636.363636,0.011619
3.676768,372727.272727,0.011968
3.676768,381818.181818,0.012317
3.676768,390909.090909,0.012666
3.676768,400000.000000,0.013015
3.676768,409090.909091,0.013296
3.676768,418181.818182,0.013577
3.676768,427272.727273,0.013857
3.676768,436363.636364,0.014138
3.676768,445454.545455,0.014419
3.676768,454545.454545,0.014700
3.676768,463636.363636,0.014980
3.676768,472727.272727,0.015261
3.676768,481818.181818,0.015542
3.676768,490909.090909,0.015823
3.676768,500000.000000,0.016104
3.676768,509090.909091,0.016537
3.676768,518181.818182,0.016970
3.676768,527272.727273,0.017403
3.676768,536363.636364,0.017836
3.676768,545454.545455,0.018270
3.676768,554545.454545,0.018703
3.676768,563636.363636,0.019136
3.676768,572727.272727,0.019569
3.676768,581818.181818,0.020002
3.676768,590909.090909,0.020435
3.676768,600000.000000,0.020869
3.676768,609090.909091,0.021172
3.676768,618181.818182,0.021476
3.676768,627272.727273,0.021779
3.676768,636363.636364,0.022083
3.676768,645454.545455,0.022386
3.676768,654545.454545,0.022690
3.676768,663636.363636,0.022993
3.676768,672727.272727,0.023297
3.676768,681818.181818,0.023600
3.676768,690909.090909,0.023904
3.676768,700000.000000,0.024207
3.676768,709090.909091,0.024457
3.676768,718181.818182,0.024707
3.676768,727272.727273,0.024957
3.676768,736363.636364,0.025207
3.676768,745454.545455,0.025457
3.676768,754545.454545,0.025707
3.676768,763636.363636,0.025957
3.676768,772727.272727,0.026207
3.676768,781818.181818,0.026457
3.676768,790909.090909,0.026707
3.676768,800000.000000,0.026957
3.676768,809090.909091,0.027285
3.676768,818181.818182,0.027614
3.676768,827272.727273,0.027942
3.676768,836363.636364,0.028270
3.676768,845454.545455,0.028598
3.676768,854545.454545,0.028927
3.676768,863636.363636,0.029255
3.676768,872727.272727,0.029583
3.676768,881818.181818,0.029912
3.676768,890909.090909,0.030240
3.676768,900000.000000,0.030568
3.676768,909090.909091,0.030809
3.676768,918181.818182,0.031049
3.676768,927272.727273,0.031290
3.676768,936363.636364,0.031531
3.676768,945454.545455,0.031771
3.676768,954545.454545,0.032012
3.676768,963636.363636,0.032252
3.676768,972727.272727,0.032493
3.676768,981818.181818,0.032733
3.676768,990909.090909,0.032974
3.676768,1000000.000000,0.033215
3.747475,100000.000000,0.000000
3.747475,109090.909091,0.003322
3.747475,118181.818182,0.003583
3.747475,127272.727273,0.003844
3.747475,136363.636364,0.004106
3.747475,145454.545455,0.004367
3.747475,154545.454545,0.004628
3.747475,163636.363636,0.004889
3.747475,172727.272727,0.005151
3.747475,181818.181818,0.005412
3.747475,190909.090909,0.005673
3.747475,200000.000000,0.005934
3.747475,209090.909091,0.006236
3.747475,218181.818182,0.006537
3.747475,227272.727273,0.006838
3.747475,236363.636364,0.007139
3.747475,245454.545455,0.007440
3.747475,254545.454545,0.007742
3.747475,263636.363636,0.008043
3.747475,272727.272727,0.008344
3.747475,281818.181818,0.008645
3.747475,290909.090909,0.008946
3.747475,300000.000000,0.009247
3.747475,309090.909091,0.009600
3.747475,318181.818182,0.009952
3.747475,327272.727273,0.010304
3.747475,336363.636364,0.010656
3.747475,345454.545455,0.011008
3.747475,354545.454545,0.011360
3.747475,363636.363636,0.011713
3.747475,372727.272727,0.012065
3.747475,381818.181818,0.012417
3.747475,390909.090909,0.012769
3.747475,400000.000000,0.013121
3.747475,409090.909091,0.013405
3.747475,418181.818182,0.013689
3.747475,427272.727273,0.013973
3.747475,436363.636364,0.014257
3.747475,445454.545455,0.014541
3.747475,454545.454545,0.014825
3.747475,463636.363636,0.015109
3.747475,472727.272727,0.015393
3.747475,481818.181818,0.015677
3.747475,490909.090909,0.015961
3.747475,500000.000000,0.016245
3.747475,509090.909091,0.016688
3.747475,518181.818182,0.017131
3.747475,527272.727273,0.017573
3.747475,536363.636364,0.018016
3.747475,545454.545455,0.018459
3.747475,554545.454545,0.018902
3.747475,563636.363636,0.019345
3.747475,572727.272727,0.019788
3.747475,581818.181818,0.020230
3.747475,590909.090909,0.020673
3.747475,600000.000000,0.021116
3.747475,609090.909091,0.021423
3.747475,618181.818182,0.021730
3.747475,627272.727273,0.022036
3.747475,636363.636364,0.022343
3.747475,645454.545455,0.022650
3.747475,654545.454545,0.022956
3.747475,663636.363636,0.023263
3.747475,672727.272727,0.023570
3.747475,681818.181818,0.023876
3.747475,690909.090909,0.024183
3.747475,700000.000000,0.024490
3.747475,709090.909091,0.024740
3.747475,718181.818182,0.024990
3.747475,727272.727273,0.025240
3.747475,736363.636364,0.025490
3.747475,745454.545455,0.025740
3.747475,754545.454545,0.025990
3.747475,763636.363636,0.026240
3.747475,772727.272727,0.026490
3.747475,781818.181818,0.026740
3.747475,790909.090909,0.026990
3.747475,800000.000000,0.027240
3.747475,809090.909091,0.027586
3.747475,818181.818182,0.027932
3.747475,827272.727273,0.028278
3.747475,836363.636364,0.028624
3.747475,845454.545455,0.028970
3.747475,854545.454545,0.029316
3.747475,863636.363636,0.029662
3.747475,872727.272727,0.030008
3.747475,881818.181818,0.030354
